company,region,career,address,title,deadline,link
미니레코드,서울 송파구,경력 1-5년,서울특별시 송파구 송파대로 558 월드타워빌딩 6F 미니레코드,인공지능 음성 합성(TTS) 전문가,상시채용,https://www.wanted.co.kr/wd/214287
포자랩스,서울 강남구,신입,"서울 강남구 테헤란로 78길 16, 노벨빌딩 10층 포자랩스",인공지능 오디오 생성 개발자,상시채용,https://www.wanted.co.kr/wd/184683
이쿠얼키(인공지능수학 깨봉),서울 강남구,경력 3-7년,서울시 강남구 선릉로 108길 51,콘텐츠 마케터,상시채용,https://www.wanted.co.kr/wd/195145
메라커,서울 서초구,신입-경력 10년,"서울특별시 서초구 매헌로8길 47, (AI양재허브) 2층",영상 업스케일링/화질개선 인공지능 개발자,2024.04.30,https://www.wanted.co.kr/wd/205430
태그하이브(TagHive),서울 송파구,경력 4-10년,서울특별시 송파구 문정동 642. 송파테라타워2 B동 604호입니다.,인공지능개발연구원(팀리드),2024.04.19,https://www.wanted.co.kr/wd/207097
이쿠얼키(인공지능수학 깨봉),서울 강남구,신입,서울시 강남구 선릉로 108길 51,서비스 운영 매니저,2024.05.30,https://www.wanted.co.kr/wd/195106
웨이센(waycenInc.),서울 강남구,경력 3-10년,서울시 강남구 삼성로 524 세화빌딩 5층,메디컬 인공지능(AI) 의료기기 영업 전문가,상시채용,https://www.wanted.co.kr/wd/138063
한글과컴퓨터,경기 성남시,경력 3-10년,"경기도 성남시 분당구 대왕판교로644번길 49 (삼평동,한컴타워)",인공지능 언어모델 개발,2024.04.15,https://www.wanted.co.kr/wd/213337
웨이센(waycenInc.),서울 강남구,경력 5-8년,서울시 강남구 삼성로 524 세화빌딩 5층,인공지능 헬스케어/의료기기SW 상품기획자(PM/PO),2024.05.31,https://www.wanted.co.kr/wd/200352
지란지교데이터,대전 유성구,경력 5-8년,유성구 테크노 3로 65 한신에스메카 604,AI 인공지능 개발 (5~8년) - 대전,2024.04.15,https://www.wanted.co.kr/wd/213559
이쿠얼키(인공지능수학 깨봉),서울 강남구,경력 3-7년,서울시 강남구 선릉로 108길 51,QA Manager,상시채용,https://www.wanted.co.kr/wd/191983
에듀템,서울 마포구,신입-경력 10년,서울 마포구 월드컵북로 396 누리꿈스퀘어 연구개발타워 1104호,인공지능 기술개발 및 연구,상시채용,https://www.wanted.co.kr/wd/105444
이쿠얼키(인공지능수학 깨봉),서울 강남구,경력 7-10년,서울시 강남구 선릉로 108길 51,Senior Backend Engineer(7년 이상),2024.05.30,https://www.wanted.co.kr/wd/199301
이글루코퍼레이션,서울 송파구,경력 5-10년,서울 송파구 문정동 정의로 8길 7 한스빌딩 ㈜이글루코퍼레이션,인공지능/머신러닝 솔루션 엔진 개발 (5년이상),2024.04.30,https://www.wanted.co.kr/wd/203157
보로노이,인천 연수구,경력 3-9년,연수구 송도과학로 32 IT센터,신약개발 인공지능 연구원 (3년 이상),상시채용,https://www.wanted.co.kr/wd/207703
더매트릭스,서울 구로구,경력 2-5년,"서울특별시 구로구 경인로 53가길 10, 1214호",인공지능(AI) 개발자,2024.04.13,https://www.wanted.co.kr/wd/214193
디오비스튜디오,서울 마포구,경력 2-7년,"마포구 동교로154, 2층",인공지능 분야 박사급 연구원,상시채용,https://www.wanted.co.kr/wd/207660
인공지능연구원,경기 성남시,신입,경기도 성남시 분당구 판교로 289번길 20. 스타트업캠퍼스,병역특례 AI 관련 개발자,상시채용,https://www.wanted.co.kr/wd/210178
이쿠얼키(인공지능수학 깨봉),서울 강남구,경력 1-4년,서울시 강남구 선릉로 108길 51,[깨봉수학] 2D 콘텐츠 크리에이터 (1년 이상),2024.05.30,https://www.wanted.co.kr/wd/184450
카이어,서울 서초구,경력 1-10년,서초구 매헌로8길 39,인공지능 연구개발,상시채용,https://www.wanted.co.kr/wd/73517
메디인테크,서울 종로구,경력 1-10년,서울특별시 종로구 대학로 60 동마루빌딩 2층,[전문연구요원 가능] 인공지능 연구원,상시채용,https://www.wanted.co.kr/wd/100405
