"company","title","career","address","deadline","link"
"코드잇(codeit)","[100억↑투자] 교육 PM [웹 교육]","경력 1-9년","중구 청계천로 100 시그니쳐타워 동관 10층","상시채용","https://www.wanted.co.kr/wd/215297"
"페이타랩(패스오더)","[200억↑투자] 웹 프론트엔드 개발자(JavaScript, React) (서울)","신입-경력 10년","서울특별시 강남구 영동대로 85길 34, 6층","상시채용","https://www.wanted.co.kr/wd/45651"
"콘텐츠퍼스트(Tappytoon/태피툰)","웹툰 번역 코디네이터(번역일정 및 이슈관리)","신입","서울 강남구 테헤란로 211, 6층(역삼동, 한국고등교육재단)","2024.05.21","https://www.wanted.co.kr/wd/170694"
"샐러드랩","이커머스 솔루션 웹 Frontend 개발자","신입-경력 7년","강남구 테헤란로 78길 14-11 8층","상시채용","https://www.wanted.co.kr/wd/201712"
"키트웍스","백엔드 웹프로그래머 (Spring, MSA) 1~3년","경력 1-3년","영등포구 양평로 20 타워020 6층","2024.04.28","https://www.wanted.co.kr/wd/215156"
"티온네트워크","앱/웹 서비스운영 매니저","신입-경력 2년","서울시 강남구 강남대로456, 14층(역삼동, 한석타워)","상시채용","https://www.wanted.co.kr/wd/215086"
"자이온아이티에스","1~4년차 UI/UX 및 웹 디자이너","경력 1-4년","서울특별시 서초구 반포대로22길 39 4층","상시채용","https://www.wanted.co.kr/wd/215022"
"테일크루(Talecrew)","웹툰 메인 작화가","신입","경기도 성남시 분당구 판교역로 230 삼환하이펙스 B동 4층","상시채용","https://www.wanted.co.kr/wd/215008"
"키트웍스","프론트엔드 웹프로그래머 (Vue.js, React) 1~4년차","경력 1-4년","영등포구 양평로 20 타워020 6층","2024.04.21","https://www.wanted.co.kr/wd/214985"
"뉴플로이","웹프론트 개발자(react)","신입","서울특별시 강남구 학동로7길 5, 베틀빌딩 4층 (논현동)","상시채용","https://www.wanted.co.kr/wd/202005"
"아이비베리","웹 프론트엔드 개발","경력 1-25년","구로구 디지털로33길 50","상시채용","https://www.wanted.co.kr/wd/117677"
"모멘티","웹/앱 UI/UX 디자이너 (1~5년)","경력 1-5년","서울특별시 강남구 역삼동 605-23, 4층 (송호빌딩)","2024.04.21","https://www.wanted.co.kr/wd/199393"
"모멘티","웹/앱 UI/UX 디자이너","신입","서울특별시 강남구 역삼동 605-23, 4층 (송호빌딩)","2024.04.21","https://www.wanted.co.kr/wd/134692"
"클라우드호스피탈","프론트엔드 웹 개발자 React.js / Next.js (1~3년)","경력 1-3년","서울 서초구 서초대로 398 BNK 디지털 타워 (패스트파이브 강남3호점) 5층","상시채용","https://www.wanted.co.kr/wd/207121"
"메가스터디교육","러셀 웹서비스 운영관리 시스템 운영/기획/유지보수","신입-경력 4년","서울 서초구 효령로 321 (덕원빌딩)","2024.04.30","https://www.wanted.co.kr/wd/214326"
"더앤트","웹툰제작사 커뮤니티매니저(총무) (1년 계약직)","신입","성동구 아차산로 126, 15층","2024.04.19","https://www.wanted.co.kr/wd/212860"
"리얼드로우","웹툰 작가","경력 1-10년","서울특별시 마포구 마포대로 122, 프론트원 17층","상시채용","https://www.wanted.co.kr/wd/199826"
"리얼드로우","웹툰 PD","경력 1-10년","서울특별시 마포구 마포대로 122, 프론트원 17층","상시채용","https://www.wanted.co.kr/wd/213920"
"메타실드","네트워크 보안 또는 웹 취약점 분석가","신입","경기도 하남시 미사강변한강로 135 9층 953호(미사강변스카이폴리스)","상시채용","https://www.wanted.co.kr/wd/207882"
