"company","title","career","address","deadline","link"
"㈜제이슨그룹","[공구마켓/제이슨그룹] DBA(MySQL) 경력직 과장급 채용","경력5년↑","서울 용산구 서빙고로 17 (한강로3가) 센트럴파크타워 27층","~05/12(일)","https://www.jobkorea.co.kr/Recruit/GI_Read/44446825?Oem_Code=C1&logpath=1&stext=DBA&listno=1"
"㈜알라딘커뮤니케이션","㈜알라딘커뮤니케이션 DBA 모집","경력5년↑","서울 중구 서소문로 89-31 (순화동, 알라딘빌딩)","~04/30(화)","https://www.jobkorea.co.kr/Recruit/GI_Read/44427494?Oem_Code=C1&logpath=1&stext=DBA&listno=2"
"디비에프아이에스㈜","[DB FIS] DB생명(그룹관계사) DB운영(DBA) 경력 채용","경력3년↑","경기 용인시 수지구 디지털벨리로 61 (죽전동) DB손해보험 데이터센터","~05/09(목)","https://www.jobkorea.co.kr/Recruit/GI_Read/44424171?Oem_Code=C1&logpath=1&stext=DBA&listno=3"
"㈜지에스아이티엠(GSITM)","DB설계, Query Tunning, DB Migration 능력 보유 DBA 모집","경력5년↑","서울 종로구 재동 84-2 보헌빌딩","~04/19(금)","https://www.jobkorea.co.kr/Recruit/GI_Read/44424151?Oem_Code=C1&logpath=1&stext=DBA&listno=4"
"엔에이치엔케이씨피㈜","[NHN KCP] DBA 담당 경력사원 모집 (3년-6년차)","경력3년↑","서울 구로구 디지털로26길 72 (구로동) NHN KCP","~05/07(화)","https://www.jobkorea.co.kr/Recruit/GI_Read/44413856?Oem_Code=C1&logpath=1&stext=DBA&listno=5"
"㈜링네트","DBA  급하게 구합니다","경력5년↑","서울특별시 구로구 구로동 170-5 우림이비지센터1차 1001호","~05/04(토)","https://www.jobkorea.co.kr/Recruit/GI_Read/44385124?Oem_Code=C1&logpath=1&stext=DBA&listno=6"
"㈜천재교육","[천재교육] IT인프라팀 클라우드 DBA 담당자 모집","경력8년↑","서울 금천구 가산로9길 54 (가산동, 천재교육) 주식회사 천재교육","~05/02(목)","https://www.jobkorea.co.kr/Recruit/GI_Read/44368866?Oem_Code=C1&logpath=1&stext=DBA&listno=7"
"㈜티사이언티픽","[티사이언티픽]DBA 채용(경력)","경력5년↑","서울 마포구 상암동 1600 (주)엘지유플러스 상암사옥","~05/01(수)","https://www.jobkorea.co.kr/Recruit/GI_Read/44358415?Oem_Code=C1&logpath=1&stext=DBA&listno=8"
"㈜넥슨","[국내메이플] DBA","경력5년↑","경기 성남시 분당구 판교로256번길 7 (삼평동) 넥슨코리아","상시채용","https://www.jobkorea.co.kr/Recruit/GI_Read/44355264?Oem_Code=C1&logpath=1&stext=DBA&listno=9"
"㈜컴투스","[컴투스플랫폼] Hive플랫폼 DBA (경력)","경력","서울 금천구 가산동 371-17 BYC하이시티 A동 12층","~06/28(금)","https://www.jobkorea.co.kr/Recruit/GI_Read/44344732?Oem_Code=C1&logpath=1&stext=DBA&listno=10"
