"company","title","career","address","deadline","link"
"㈜뉴프렉스","제조업체 전산관리자(서버/네트워크 관리) 신입 및 경력 모집","신입·경력","경기 안산시 단원구 만해로 181 (신길동)","~04/17(수)","https://www.jobkorea.co.kr/Recruit/GI_Read/44431385?Oem_Code=C1&xxlogpath=1&stext=서버&listno=1"
"한일네트웍스㈜","한일네트웍스 AI / STT / TTS / LLM 서버개발자 모집(경력)","경력3년↑","서울 마포구 양화로8길 9 (서교동, 우리빌딩)","~04/24(수)","https://www.jobkorea.co.kr/Recruit/GI_Read/44427624?Oem_Code=C1&logpath=1&stext=서버&listno=2"
"㈜와이비에스","[YBS] 서버 백엔드 및 JAVA 경력직   개발자  채용 공고","경력5년↑","경기 성남시 분당구 정자일로 162 (정자동, 젤존타워2)","상시채용","https://www.jobkorea.co.kr/Recruit/GI_Read/44421373?Oem_Code=C1&logpath=1&stext=서버&listno=3"
"㈜유알피","[㈜유알피] 24년 공공기관상주 서버관리자 채용","경력3년↑","서울 강서구 양천로 570 (등촌동, NH서울축산농협NH서울타워) 5층 URP","~05/31(금)","https://www.jobkorea.co.kr/Recruit/GI_Read/44410902?Oem_Code=C1&logpath=1&stext=서버&listno=4"
"에스케이쉴더스㈜","SK하이닉스 물리보안 서버 및 네트워크 관리 계약직 채용","경력3년↑","경기 이천시 부발읍 경충대로 2091-1 (아미리)","~04/14(일)","https://www.jobkorea.co.kr/Recruit/GI_Read/44411766?Oem_Code=C1&logpath=1&stext=서버&listno=5"
"메가스터디교육㈜","시스템 엔지니어(서버/네트워크) 채용","경력6년↑","서울 서초구 효령로 321 (서초동, 메가스터디)","~04/21(일)","https://www.jobkorea.co.kr/Recruit/GI_Read/44410866?Oem_Code=C1&logpath=1&stext=서버&listno=6"
"디어유","서버개발실 실장 채용","경력10년↑","서울 강남구 삼성로 633 (삼성동, 삼광빌딩) 5층","~05/07(화)","https://www.jobkorea.co.kr/Recruit/GI_Read/44407786?Oem_Code=C1&logpath=1&stext=서버&listno=7"
"보보스링크㈜","[삼성역 / 외국계대기업] IT팀 서버 및 네트워크 유지보수 및 관리","경력무관","서울 강남구 삼성동 159 ASEM및한국종합무역센타단지","~06/04(화)","https://www.jobkorea.co.kr/Recruit/GI_Read/44394909?Oem_Code=C1&logpath=1&stext=서버&listno=8"
"㈜에이수스코리아","[ASUS KOREA] 서버 제품담당자 (Country Product Manager)  채용","경력3년↑","서울 영등포구 여의나루로 67 (여의도동, 신송빌딩)","~06/02(일)","https://www.jobkorea.co.kr/Recruit/GI_Read/44379253?Oem_Code=C1&logpath=1&stext=서버&listno=9"
"㈜이스트게임즈","캐주얼 전략액션 클라이언트 개발/ 게임 서버 (툴/인프라) 개발(경력) (보훈대상자 우대)","신입·경력","서울 서초구 반포대로 3 (서초동, 이스트빌딩)","상시채용","https://www.jobkorea.co.kr/Recruit/GI_Read/44374238?Oem_Code=C1&logpath=1&stext=서버&listno=10"
"㈜컴투스","[컴투스] [컴프야2024/MLB라이벌/컴프야V24] 모바일 게임 서버 프로그래머 (신입/경력)","신입·경력","서울 금천구 가산디지털1로 131 (가산동, BYC HIGHCITY)","~06/28(금)","https://www.jobkorea.co.kr/Recruit/GI_Read/44359860?Oem_Code=C1&logpath=1&stext=서버&listno=11"
"㈜셀바스에이아이","솔루션 서버 개발 인재 채용 - 경력","경력5년↑","서울 금천구 가산디지털1로 19 (가산동, 대륭테크노타운18차) 20층","상시채용","https://www.jobkorea.co.kr/Recruit/GI_Read/44352517?Oem_Code=C1&logpath=1&stext=서버&listno=12"
"엔아이티서비스㈜","[네이버 데이터센터 각 춘천][NIT Service] NAVER IDC 서버 운영/관리","경력무관","강원 춘천시 동면 순환대로 1154-79 (만천리, 네이버데이터센터) 춘천 데이터센터 각","~04/26(금)","https://www.jobkorea.co.kr/Recruit/GI_Read/44321196?Oem_Code=C1&logpath=1&stext=서버&listno=13"
"엔아이티서비스㈜","[네이버계열사][NIT Service][가산IDC] NAVER IDC 서버 운영/관리","경력무관","경기 성남시 분당구 분당로 55 (서현동) 분당퍼스트타워 2층","~04/26(금)","https://www.jobkorea.co.kr/Recruit/GI_Read/44321185?Oem_Code=C1&logpath=1&stext=서버&listno=14"
"엔아이티서비스㈜","[네이버계열사][NIT Service][평촌IDC] NAVER IDC 서버 운영/관리","경력무관","경기 성남시 분당구 분당로 55 (서현동) 분당퍼스트타워 2층","~04/26(금)","https://www.jobkorea.co.kr/Recruit/GI_Read/44321156?Oem_Code=C1&logpath=1&stext=서버&listno=15"
"㈜위메이드","[위메이드XR-Legend of YMIR] 서버 프로그래머","경력2년↑","경기 성남시 분당구 대왕판교로644번길 49 (삼평동, 위메이드타워) 위메이드 타워","~04/26(금)","https://www.jobkorea.co.kr/Recruit/GI_Read/44311219?Oem_Code=C1&logpath=1&stext=서버&listno=16"
"한솔테크닉스","2024년 상반기 경력사원 수시채용 - S/W 개발 (서버 프로그램)","경력","충북 청주시 흥덕구 옥산면 과학산업1로 140 (남촌리)","~04/14(일)","https://www.jobkorea.co.kr/Recruit/GI_Read/44304573?Oem_Code=C1&logpath=1&stext=서버&listno=17"
"유비벨록스㈜","유비벨록스 서버개발자 모집","경력7년↑","서울 구로구 디지털로31길 38-9 (구로동, 에이스테크노타워1차) 5층","~04/24(수)","https://www.jobkorea.co.kr/Recruit/GI_Read/44303047?Oem_Code=C1&logpath=1&stext=서버&listno=18"
"㈜지에스아이티엠(GSITM)","GS칼텍스 여수공장 서버 및 네트워크 유지보수 관리자 모집","경력3년↑","서울 종로구 재동 84-2 보헌빌딩","~04/24(수)","https://www.jobkorea.co.kr/Recruit/GI_Read/44302967?Oem_Code=C1&logpath=1&stext=서버&listno=19"
"㈜웹젠","[웹젠/SUN] 서버(경력)","경력","경기 성남시 분당구 판교로 242 (삼평동) 판교디지털센터 B동","~05/21(화)","https://www.jobkorea.co.kr/Recruit/GI_Read/44292954?Oem_Code=C1&logpath=1&stext=서버&listno=20"
"위메이드","[디스민즈워] 게임 서버 프로그래머(PC/Console)","경력3년↑","경기 성남시 분당구 대왕판교로644번길 49 (삼평동, 위메이드타워) 위메이드 타워","~04/18(목)","https://www.jobkorea.co.kr/Recruit/GI_Read/44247480?Oem_Code=C1&logpath=1&stext=서버&listno=21"
"㈜넥슨","[프라시아 전기] 서버 프로그래머","경력","경기 성남시 분당구 판교로256번길 7 (삼평동) 넥슨코리아","상시채용","https://www.jobkorea.co.kr/Recruit/GI_Read/44209254?Oem_Code=C1&logpath=1&stext=서버&listno=22"
"㈜웹젠","[웹젠/MU Online] 서버(신입)","신입","경기 성남시 분당구 판교로 242 (삼평동) 판교디지털센터 B동","~05/11(토)","https://www.jobkorea.co.kr/Recruit/GI_Read/44207521?Oem_Code=C1&logpath=1&stext=서버&listno=23"
"㈜티시스아이티","2024년 IT 기술리더 영입 - 서버/웹프론트 엔지니어","경력","서울특별시 중구 남대문로 15 (남대문로4가)","~04/20(토)","https://www.jobkorea.co.kr/Recruit/GI_Read/44064026?Oem_Code=C1&logpath=1&stext=서버&listno=24"
"㈜넥슨","[인텔리전스랩스] 넥슨 공용 게임 서버 엔진 개발자","경력무관","경기 성남시 분당구 판교로256번길 7 (삼평동) 넥슨코리아","상시채용","https://www.jobkorea.co.kr/Recruit/GI_Read/44027916?Oem_Code=C1&logpath=1&stext=서버&listno=25"
"㈜엔씨소프트","[엔씨소프트][신규프로젝트] 서버프로그래머 모집","경력8년↑","경기 성남시 분당구 삼평동 668번지","~04/12(금)","https://www.jobkorea.co.kr/Recruit/GI_Read/43981174?Oem_Code=C1&logpath=1&stext=서버&listno=26"
"본푸드서비스㈜","영암군[골프존카운티] 홀 매니저/ 홀 서버 채용 - 본푸드서비스(주)","신입·경력","전남 영암군 삼호읍 에프원로 121-1 (난전리)","~05/09(목)","https://www.jobkorea.co.kr/Recruit/GI_Read/44428636?Oem_Code=C1&logpath=1&stext=서버&listno=27"
