"company","title","career","address","deadline","link"
"서린정보기술㈜","[서린정보기술] 인프라 및 하드웨어 영업 담당자 경력 채용","경력3년↑","서울 강남구 강남대로 542 (논현동, 영풍빌딩) 8층 서린정보기술(주)","~06/08(토)","https://www.jobkorea.co.kr/Recruit/GI_Read/44420112?Oem_Code=C1&logpath=1&stext=하드웨어&listno=1"
"㈜일신이디아이","기업부설연구소 경력 연구원 모집합니다.(하드웨어/펌웨어 개발)","경력3년↑","경기 김포시 양촌읍 황금로109번길 80 (학운리) 3층","~06/07(금)","https://www.jobkorea.co.kr/Recruit/GI_Read/44407536?Oem_Code=C1&logpath=1&stext=하드웨어&listno=2"
"㈜미래시스템","[하드웨어 엔지니어] H/W개발팀 신입 및 경력 채용공고","신입·경력2년↑","대전 유성구 테크노2로 80-27 (관평동, (주)미래시스템)","~05/28(화)","https://www.jobkorea.co.kr/Recruit/GI_Read/44344614?Oem_Code=C1&logpath=1&stext=하드웨어&listno=3"
"㈜텔레웍스","하드웨어 엔지니어 채용","경력2년↑","서울 강서구 마곡중앙10로 10 (마곡동, LG사이언스파크) 엘지전자 사이언스파크","~04/28(일)","https://www.jobkorea.co.kr/Recruit/GI_Read/44344424?Oem_Code=C1&logpath=1&stext=하드웨어&listno=4"
"태승전자㈜","전기/전자 개발 경력직 모집(하드웨어 설계/PCB설계)","신입·경력5년↑","인천 서구 로봇랜드로249번길 62-8 (경서동) 태승전자(주)","~04/28(일)","https://www.jobkorea.co.kr/Recruit/GI_Read/44342355?Oem_Code=C1&logpath=1&stext=하드웨어&listno=5"
"인소팩㈜","무선통신 하드웨어 개발 경력직 모집","경력1년↑","경기 수원시 영통구 신원로 88 (신동, 디지털엠파이어2) 101동 508호","~04/27(토)","https://www.jobkorea.co.kr/Recruit/GI_Read/44329706?Oem_Code=C1&logpath=1&stext=하드웨어&listno=6"
"㈜벡터코리아 (Vector Korea)","차량통신 하드웨어 엔지니어 채용","경력3년↑","서울특별시 용산구 한강대로 69 용산 푸르지오써밋 업무동 9층","~05/08(수)","https://www.jobkorea.co.kr/Recruit/GI_Read/44416154?Oem_Code=C1&logpath=1&stext=하드웨어&listno=7"
"㈜지넷시스템","차량용 블랙박스 하드웨어 개발자 채용","신입","서울 금천구 가산동 550-1 롯데IT캐슬 2동 6층","~06/07(금)","https://www.jobkorea.co.kr/Recruit/GI_Read/44415163?Oem_Code=C1&logpath=1&stext=하드웨어&listno=8"
"㈜에스디시스템","하드웨어 개발자 신규 인력 채용","신입·경력1년↑","경기 성남시 중원구 갈마치로244번길 31 (상대원동, 현대아이밸리) 613호","~05/05(일)","https://www.jobkorea.co.kr/Recruit/GI_Read/44398319?Oem_Code=C1&logpath=1&stext=하드웨어&listno=9"
"(주)마이나비코리아","[일본계 한국법인] 산업기계업계 제품설계개발 (하드웨어/경력2년 이상) 733","경력4년↑","서울 강남구 영동대로 511 (삼성동, 트레이드타워) -","~05/08(수)","https://www.jobkorea.co.kr/Recruit/GI_Read/44409835?Oem_Code=C1&logpath=1&stext=하드웨어&listno=10"
"에스디바이오센서㈜","[4월/경력/수원]하드웨어 개발자 모집","경력","경기 수원시 영통구 덕영대로1556번길 16 (영통동, 디지털엠파이어빌딩)","~04/28(일)","https://www.jobkorea.co.kr/Recruit/GI_Read/44400657?Oem_Code=C1&logpath=1&stext=하드웨어&listno=11"
"㈜네오랩컨버전스","[NeoLAB] (하드웨어개발/AS) 경력직 채용","신입·경력5년↑","서울 구로구 디지털로30길 28 (구로동, 마리오타워) 마리오타워 15층 - 서울 2호선 구로디지털단지 에서 800m 이내","~04/15(월)","https://www.jobkorea.co.kr/Recruit/GI_Read/44393689?Oem_Code=C1&logpath=1&stext=하드웨어&listno=12"
"㈜그리드위즈","하드웨어 설계,검증 신입/경력 채용","경력무관","경기 성남시 수정구 대왕판교로 907 (시흥동) 그리드위즈 블루동","~05/08(수)","https://www.jobkorea.co.kr/Recruit/GI_Read/44389326?Oem_Code=C1&logpath=1&stext=하드웨어&listno=13"
"하이젠알앤엠㈜","회로설계 ,전력 아날로그 하드웨어 (경력)","경력5년↑","경남 창원시 성산구 공단로473번길 57 (성산동, 하이젠알앤엠주식회사) 기술연구소","~05/01(수)","https://www.jobkorea.co.kr/Recruit/GI_Read/44360663?Oem_Code=C1&logpath=1&stext=하드웨어&listno=14"
