company,region,career,title,deadline,link
데이터노우즈,서울 강남구,경력 3-8년,Product Owner,2024.04.30,https://www.wanted.co.kr/wd/214712
알파브라더스,서울 강서구,신입,DATA 전략 컨설턴트,상시채용,https://www.wanted.co.kr/wd/214643
지란지교데이터,경기 성남시,경력 3-7년,솔루션 서비스 기획자 (3년 이상~) - 판교,2024.04.15,https://www.wanted.co.kr/wd/214290
크리스틴컴퍼니,서울 강남구,경력 3-8년,데이터 사이언티스트 (3년 이상),상시채용,https://www.wanted.co.kr/wd/214463
울랄라랩,경기,경력 5-10년,산업데이터 플랫폼 JAVA 개발자 (5년 이상),2024.05.31,https://www.wanted.co.kr/wd/212779
큐빅웨어,경기,경력 1-10년,교통 빅데이터 사업 제안/보고서 작성,2024.05.31,https://www.wanted.co.kr/wd/214609
지란지교데이터,경기 성남시,경력 3-5년,회계 실무 담당자 (3~5년) - 판교,2024.04.15,https://www.wanted.co.kr/wd/213561
유비케어,서울 영등포구,경력 2-10년,데이터분석,상시채용,https://www.wanted.co.kr/wd/214216
한국미용데이터,서울 관악구,경력 1-5년,파이썬(AWS) 개발자,상시채용,https://www.wanted.co.kr/wd/206989
클로인트,서울 서초구,경력 5-15년,"온체인 데이터 프로덕트 기획자 (PO, PM)",상시채용,https://www.wanted.co.kr/wd/174919
데이터이즘,서울 서초구,경력 2-5년,모바일 앱 개발자 (중급 이상),상시채용,https://www.wanted.co.kr/wd/212663
페니로이스,서울 종로구,경력 2-10년,Data Scientist in Financial,상시채용,https://www.wanted.co.kr/wd/213503
어반데이터랩,서울 종로구,경력 3-5년,재무팀 매니저(5년 이상),상시채용,https://www.wanted.co.kr/wd/192242
아우름플래닛(Liner),서울 마포구,경력 1-15년,[100억↑투자] 데이터 매니저,2024.06.30,https://www.wanted.co.kr/wd/213541
매드업,서울 서초구,경력 3-7년,데이터 컨설턴트 - 3년 이상 (광고사업부),2024.05.01,https://www.wanted.co.kr/wd/208387
제네시스랩,서울 중구,경력 3-15년,[200억↑투자] Data Scientist (3년이상),상시채용,https://www.wanted.co.kr/wd/106376
마이크로프로텍트,서울 금천구,경력 3-7년,Data Engineer(데이터 크롤링),2024.04.11,https://www.wanted.co.kr/wd/205810
이글루코퍼레이션,서울 송파구,경력 6-10년,데이터 분석 엔진 개발 (6년이상),2024.04.30,https://www.wanted.co.kr/wd/205486
앰버로드,서울 강남구,경력 2-5년,Data Scientist,상시채용,https://www.wanted.co.kr/wd/191938
크라우드웍스,충남,경력 2-10년,국방산업 Data PM (충남 논산),상시채용,https://www.wanted.co.kr/wd/210502
플래티어,서울 송파구,경력 5-15년,[그루비 SaaS 솔루션] 데이터사이언스팀 리더,상시채용,https://www.wanted.co.kr/wd/54715
코드잇(codeit),서울 중구,경력 1-9년,[100억↑투자] 교육 PM [데이터﹒AI 교육],상시채용,https://www.wanted.co.kr/wd/198185
카카오헬스케어,경기 성남시,경력 5-8년,데이터 엔지니어 (5년 이상),2024.04.15,https://www.wanted.co.kr/wd/213695
에어프레미아랩스,서울 영등포구,경력 5-6년,Data Analyst,2024.04.14,https://www.wanted.co.kr/wd/214164
에니아이(Aniai),서울 성동구,경력 3-15년,Data Scientist (전문연구요원 가능),상시채용,https://www.wanted.co.kr/wd/191674
이마고웍스,서울 강남구,경력 2-10년,[100억↑투자] Data Pipeline Team Leader,상시채용,https://www.wanted.co.kr/wd/197658
어센트코리아(Ascent Korea),서울 강남구,경력 5-10년,데이터 사이언스 (5년이상),상시채용,https://www.wanted.co.kr/wd/151703
Sendbird(센드버드),서울 강남구,경력 4-10년,Data Platform Engineer,상시채용,https://www.wanted.co.kr/wd/212811
매드업,서울 서초구,경력 3-7년,데이터 분석가 - 3년 이상 (광고사업부),2024.05.01,https://www.wanted.co.kr/wd/213293
유펜솔루션(스파이더킴),서울 강남구,경력 1-15년,데이터 엔지니어,상시채용,https://www.wanted.co.kr/wd/208600
