"company","title","career","address","deadline","link"
"글로벌엠아이지","웹 디자인/퍼블리셔 모집 (주5일7.5시간 근무제)","경력무관","서울 성동구 성수이로 65, 6층","~ 04/17(수)","https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=47803158&location=ts&searchword=%ED%8D%BC%EB%B8%94%EB%A6%AC%EC%85%94&searchType=search&paid_fl=n&search_uuid=13ecce11-0de1-4676-8758-bd17680f74c4"
"(주)에스아이알소프트","Python/PHP개발자, 디자이너, 퍼블리셔, 기획자 신입/경력","경력무관","서울 강남구 테헤란로 322 한신인터밸리24빌딩 서관 1404호","오늘마감","https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=47577869&location=ts&searchword=%ED%8D%BC%EB%B8%94%EB%A6%AC%EC%85%94&searchType=search&paid_fl=n&search_uuid=13ecce11-0de1-4676-8758-bd17680f74c4"
"(주)시내엔들","IT 솔루션 개발 - 웹 퍼블리셔/프론트엔드 [경력/신입(전공)]","경력무관","서울 송파구 중대로 312, 3층","~ 05/04(토)","https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=47934296&location=ts&searchword=%ED%8D%BC%EB%B8%94%EB%A6%AC%EC%85%94&searchType=search&paid_fl=n&search_uuid=13ecce11-0de1-4676-8758-bd17680f74c4"
"미디어젠(주)","[미디어젠(주)] 개발/웹퍼블리셔/사업 분야 신입/경력 채용","신입·경력","서울 강서구 마곡중앙12로 31","~ 05/31(금)","https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=47905541&location=ts&searchword=%ED%8D%BC%EB%B8%94%EB%A6%AC%EC%85%94&searchType=search&paid_fl=n&search_uuid=13ecce11-0de1-4676-8758-bd17680f74c4"
"(주)키스템프그룹","[정규직/연봉4190] 키스템프 본사 웹디자인/퍼블리셔 채용","경력","서울 중구 을지로5길 16 삼화타워 4층 키스템프그룹","~ 04/21(일)","https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=47975551&location=ts&searchword=%ED%8D%BC%EB%B8%94%EB%A6%AC%EC%85%94&searchType=search&paid_fl=n&search_uuid=13ecce11-0de1-4676-8758-bd17680f74c4"
"한화시스템(주)","웹디자인&퍼블리셔 경력 채용","경력","서울 중구 을지로 100 파인에비뉴","~ 04/20(토)","https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=47832945&location=ts&searchword=%ED%8D%BC%EB%B8%94%EB%A6%AC%EC%85%94&searchType=search&paid_fl=n&search_uuid=13ecce11-0de1-4676-8758-bd17680f74c4"
"(주)베리타스커넥트","(주)베리타스커넥트 웹퍼블리셔 (WebPublisher) 신입 채용","신입","서울 서초구 강남대로 331 서초동 광일빌딩 9층","채용시","https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=47904206&location=ts&searchword=%ED%8D%BC%EB%B8%94%EB%A6%AC%EC%85%94&searchType=search&paid_fl=n&search_uuid=13ecce11-0de1-4676-8758-bd17680f74c4"
"이케이 주식회사","[4.5일 자율근무] 웹/앱 디자인 , 디자인 퍼블리셔 채용","신입·경력","경기 용인시 기흥구 기흥로 58 B동 29층","채용시","https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=47899714&location=ts&searchword=%ED%8D%BC%EB%B8%94%EB%A6%AC%EC%85%94&searchType=search&paid_fl=n&search_uuid=13ecce11-0de1-4676-8758-bd17680f74c4"
"(주)아이웹","웹디자인(퍼블리셔) 개발자를 모집합니다.(신입/경력) 채용","경력무관","서울 마포구 매봉산로 37. DMC산학협력연구센터 605호","~ 06/02(일)","https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=47920480&location=ts&searchword=%ED%8D%BC%EB%B8%94%EB%A6%AC%EC%85%94&searchType=search&paid_fl=n&search_uuid=13ecce11-0de1-4676-8758-bd17680f74c4"
"(주)메일플러그","웹퍼블리싱 / 웹퍼블리셔 모집 #정규직 #유연근무 #선릉역","경력무관","서울 강남구 테헤란로78길 16 노벨빌딩 10층 메일플러그","~ 05/06(월)","https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=47726693&location=ts&searchword=%ED%8D%BC%EB%B8%94%EB%A6%AC%EC%85%94&searchType=search&paid_fl=n&search_uuid=13ecce11-0de1-4676-8758-bd17680f74c4"
