"company","title","career","address","deadline","link"
"신라에이치엠(주)","[신라스테이]마포/구로 호텔 분야별 인재채용(프론트/식음/조리)","신입·경력","서울 중구 남산동2가 31-1","~ 04/17(수)","https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=47814743&location=ts&searchword=%ED%94%84%EB%A1%A0%ED%8A%B8&searchType=search&paid_fl=n&search_uuid=1dcca0ab-0219-4a02-adf3-47b8f653d21b"
"신라에이치엠(주)","[신라스테이] 동탄/천안 호텔 (프론트/식음/조리) 채용","신입·경력","경기 평택시 팽성읍 안정순환로 118, 주한미군 험프리기지","~ 04/23(화)","https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=47850269&location=ts&searchword=%ED%94%84%EB%A1%A0%ED%8A%B8&searchType=search&paid_fl=n&search_uuid=1dcca0ab-0219-4a02-adf3-47b8f653d21b"
"신라에이치엠(주)","[신라스테이] 울산 프론트매니저/객실/식음/sales 인재채용","신입·경력","울산 남구 삼산로 200","~ 04/23(화)","https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=47853724&location=ts&searchword=%ED%94%84%EB%A1%A0%ED%8A%B8&searchType=search&paid_fl=n&search_uuid=1dcca0ab-0219-4a02-adf3-47b8f653d21b"
"신라에이치엠(주)","[신라스테이] 광화문/서대문 호텔 (프론트/식음/부총지배인)채용","신입·경력","서울 용산구 이태원동 119-25번지","~ 04/24(수)","https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=47860249&location=ts&searchword=%ED%94%84%EB%A1%A0%ED%8A%B8&searchType=search&paid_fl=n&search_uuid=1dcca0ab-0219-4a02-adf3-47b8f653d21b"
"신라에이치엠(주)","[신라스테이] 제주 이호테우 호텔 분야별 인재채용 (프론트/ 바리스타 / 식음)","신입·경력","제주 서귀포시 표선면 민속해안로 537","~ 04/26(금)","https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=47877622&location=ts&searchword=%ED%94%84%EB%A1%A0%ED%8A%B8&searchType=search&paid_fl=n&search_uuid=1dcca0ab-0219-4a02-adf3-47b8f653d21b"
"(주)파인비치","㈜파인비치 프론트/레스토랑 홀서빙/조리/지배인/아르바이트 채용","신입·경력","전남 해남군 시아로 224","~ 04/17(수)","https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=47852995&location=ts&searchword=%ED%94%84%EB%A1%A0%ED%8A%B8&searchType=search&paid_fl=n&search_uuid=1dcca0ab-0219-4a02-adf3-47b8f653d21b"
"(주)리드넘버","[리드넘버] 프론트 개발자 채용 [경력무관]","경력무관","서울 구로구 디지털로30길 28 마리오타워, 9층 907호","~ 04/21(일)","https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=47842851&location=ts&searchword=%ED%94%84%EB%A1%A0%ED%8A%B8&searchType=search&paid_fl=n&search_uuid=1dcca0ab-0219-4a02-adf3-47b8f653d21b"
"(주)배컴","[네이버클라우드&웅진씽크빅 - (주)배컴] 프론트앤드 개발자","경력무관","서울 강남구 테헤란로 410 금강타워 17층","채용시","https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=47917751&location=ts&searchword=%ED%94%84%EB%A1%A0%ED%8A%B8&searchType=search&paid_fl=n&search_uuid=1dcca0ab-0219-4a02-adf3-47b8f653d21b"
"(사)한국아이씨티기술협회","[국비무료IT취업]자바/웹앱/프론트·백엔드/풀스택/빅데이터 외","경력무관","서울 마포구 백범로 23, 3층, 지하1층 7호, 9호","~ 04/17(수)","https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=47807276&location=ts&searchword=%ED%94%84%EB%A1%A0%ED%8A%B8&searchType=search&paid_fl=n&search_uuid=1dcca0ab-0219-4a02-adf3-47b8f653d21b"
"(주)제이슨","[안랩/제이슨] (경력모집)프론트/파이썬/빅데이터/PM/영업","신입·경력","서울 마포구 양화로 61, 7층, 8층","~ 04/17(수)","https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=47801096&location=ts&searchword=%ED%94%84%EB%A1%A0%ED%8A%B8&searchType=search&paid_fl=n&search_uuid=1dcca0ab-0219-4a02-adf3-47b8f653d21b"
