"company","title","career","address","deadline","link"
"(주)에이아이매틱스","[에이아이매틱스] 하드웨어개발/해외사업/회계 담당자 채용","신입·경력","서울 영등포구 양산로 57-5, 1201호","~ 04/30(화)","https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=47985047&location=ts&searchword=%ED%95%98%EB%93%9C%EC%9B%A8%EC%96%B4&searchType=search&paid_fl=n&search_uuid=9eab356a-9d29-4aa4-8b2b-17b0500ffe2c"
"(주)테솔로","[로봇스타트업] 로보틱스 하드웨어 엔지니어 모집 (신입/경력)","경력무관","경기 광명시 일직동 514 GIDC A동 26층","~ 05/08(수)","https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=47952866&location=ts&searchword=%ED%95%98%EB%93%9C%EC%9B%A8%EC%96%B4&searchType=search&paid_fl=n&search_uuid=9eab356a-9d29-4aa4-8b2b-17b0500ffe2c"
"단암시스템즈(주)","단암시스템즈 연구개발직 하드웨어 /펌웨어 부문 모집","신입·경력","경기 안양시 동안구 동편로 79-26 단암시스템즈","~ 04/19(금)","https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=47824664&location=ts&searchword=%ED%95%98%EB%93%9C%EC%9B%A8%EC%96%B4&searchType=search&paid_fl=n&search_uuid=9eab356a-9d29-4aa4-8b2b-17b0500ffe2c"
"(주)인터웰","하드웨어(H/W)개발(전력전자) 개발직 신입/경력 채용","신입·경력","경기 화성시 향남읍 만년로 8-28","~ 04/26(금)","https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=47878997&location=ts&searchword=%ED%95%98%EB%93%9C%EC%9B%A8%EC%96%B4&searchType=search&paid_fl=n&search_uuid=9eab356a-9d29-4aa4-8b2b-17b0500ffe2c"
"인소팩(주)","무선통신 하드웨어 개발 경력 채용","경력1년↑","경북 구미시 인동20길 5, 302호","~ 04/26(금)","https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=47872069&location=ts&searchword=%ED%95%98%EB%93%9C%EC%9B%A8%EC%96%B4&searchType=search&paid_fl=n&search_uuid=9eab356a-9d29-4aa4-8b2b-17b0500ffe2c"
"(주)시드코어","하드웨어 개발자","신입·경력","세종 연동면 명학산단서로 19","상시채용","https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=45230737&location=ts&searchword=%ED%95%98%EB%93%9C%EC%9B%A8%EC%96%B4&searchType=search&paid_fl=n&search_uuid=9eab356a-9d29-4aa4-8b2b-17b0500ffe2c"
"(주)엠엔텍","하드웨어(H/W) 개발 인턴/신입 채용(정규직)","경력무관","경기 수원시 영통구 창룡대로 260 광교 센트럴비즈타워","~ 05/05(일)","https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=47939521&location=ts&searchword=%ED%95%98%EB%93%9C%EC%9B%A8%EC%96%B4&searchType=search&paid_fl=n&search_uuid=9eab356a-9d29-4aa4-8b2b-17b0500ffe2c"
"(주)엔비솔루션","하드웨어 개발 및 자동화 설비 엔지니어 부문(설계/검사SW/제어SW/전장설계/FAE) 및 구매 담당자","신입·경력","경기 안양시 동안구 흥안대로439번길 8, 4층","~ 04/30(화)","https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=47783891&location=ts&searchword=%ED%95%98%EB%93%9C%EC%9B%A8%EC%96%B4&searchType=search&paid_fl=n&search_uuid=9eab356a-9d29-4aa4-8b2b-17b0500ffe2c"
"(주)올메디쿠스","측정기개발 하드웨어 개발 지원 신입 채용","신입","경기 안양시 동안구 벌말로 140, 7102-7107, 7402, 7403, 7406","~ 04/19(금)","https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=47829431&location=ts&searchword=%ED%95%98%EB%93%9C%EC%9B%A8%EC%96%B4&searchType=search&paid_fl=n&search_uuid=9eab356a-9d29-4aa4-8b2b-17b0500ffe2c"
"(주)올메디쿠스","측정기개발 하드웨어 개발 지원 경력 채용","경력","경기 안양시 동안구 벌말로 140, 7102-7107, 7402, 7403, 7406","~ 04/19(금)","https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=47829454&location=ts&searchword=%ED%95%98%EB%93%9C%EC%9B%A8%EC%96%B4&searchType=search&paid_fl=n&search_uuid=9eab356a-9d29-4aa4-8b2b-17b0500ffe2c"
"대화기기㈜","[대화기기] 의료기기 펌웨어/하드웨어/기구설계 담당자 채용","경력무관","서울 강남구 역삼동 733-18 대화빌딩","채용시","https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=47877264&location=ts&searchword=%ED%95%98%EB%93%9C%EC%9B%A8%EC%96%B4&searchType=search&paid_fl=n&search_uuid=9eab356a-9d29-4aa4-8b2b-17b0500ffe2c"
"(주)아임유","하드웨어 개발자 채용 (회로설계 및 BOM 관리)","경력무관","서울 금천구 가산동 448 대륭테크노타운 3차 609호","~ 04/28(일)","https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=47670453&location=ts&searchword=%ED%95%98%EB%93%9C%EC%9B%A8%EC%96%B4&searchType=search&paid_fl=n&search_uuid=9eab356a-9d29-4aa4-8b2b-17b0500ffe2c"
"(주)경우시스테크","하드웨어 개발자 채용","경력무관","서울 금천구 가산동 대륭포스트타워5차 4층","~ 04/30(화)","https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=47699665&location=ts&searchword=%ED%95%98%EB%93%9C%EC%9B%A8%EC%96%B4&searchType=search&paid_fl=n&search_uuid=9eab356a-9d29-4aa4-8b2b-17b0500ffe2c"
"(주)케이티엔에프","하드웨어 개발자 모집","경력무관","서울 강서구 마곡중앙8로3길 21 케이티엔에프","~ 04/25(목)","https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=47858966&location=ts&searchword=%ED%95%98%EB%93%9C%EC%9B%A8%EC%96%B4&searchType=search&paid_fl=n&search_uuid=9eab356a-9d29-4aa4-8b2b-17b0500ffe2c"
"(주)엠투아이코퍼레이션","하드웨어 개발 채용","신입·경력","경기 성남시 분당구 삼평동 612-1번지 아이앤씨빌딩","상시채용","https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=47890891&location=ts&searchword=%ED%95%98%EB%93%9C%EC%9B%A8%EC%96%B4&searchType=search&paid_fl=n&search_uuid=9eab356a-9d29-4aa4-8b2b-17b0500ffe2c"
"(주)누리플렉스","2024년 누리플렉스 하드웨어 개발자 채용","신입","서울 서초구 사평대로 16 누리빌딩","~ 04/29(월)","https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=47714901&location=ts&searchword=%ED%95%98%EB%93%9C%EC%9B%A8%EC%96%B4&searchType=search&paid_fl=n&search_uuid=9eab356a-9d29-4aa4-8b2b-17b0500ffe2c"
