"company","title","career","address","deadline","link"
"디오비스튜디오","웹/앱 서비스 기획자","경력 5-8년","마포구 동교로154, 2층","2024.05.10","https://www.wanted.co.kr/wd/215189"
"티모넷","댐댐앱 마케팅 담당자","경력 5-7년","서울시 마포구 마포대로 86, 창강빌딩 620호","2024.05.04","https://www.wanted.co.kr/wd/214147"
"펑타이그레이터차이나(피티코리아)","글로벌 앱 마케팅 및 커뮤니케이션","경력 3-11년","(06241) 서울 강남구 강남대로 372 FINE TOWER - 신분당선 강남 에서 200m 이내","2024.04.15","https://www.wanted.co.kr/wd/209364"
"앱솔브랩(셀리맥스)","해외영업팀 B2B 해외영업","경력 5-10년","강남구 삼성로85길 26, V&S빌딩","상시채용","https://www.wanted.co.kr/wd/212626"
"케이웨더","앱/웹 서비스 기획 운영","경력 5-10년","서울특별시 구로구 디지털로 26길 5 (우)08389 에이스하이엔드타워 1차 401호","상시채용","https://www.wanted.co.kr/wd/215169"
"테크랩스","웹/앱 매체 광고 운영자 (플랫폼사업부/Client Growth실)","경력 2-10년","강남구 언주로 428, 4층, 5층, 6층, 9층, 13층, 14층","2024.06.27","https://www.wanted.co.kr/wd/213439"
"테크랩스","모바일 앱 매체 세일즈/파트너 매니저 (플랫폼사업부/운영실)","경력 5-15년","강남구 언주로 428, 4층, 5층, 6층, 9층, 13층, 14층","2024.04.25","https://www.wanted.co.kr/wd/172967"
"유나이티드어소시에이츠","[에듀테크] AI 영어 교육 앱 서비스 UI/UX 디자인 (2년 이상)","경력 3-7년","서울시 용산구 서빙고로 17 센트럴파크 몰동 2층 2075호","2024.04.30","https://www.wanted.co.kr/wd/210045"
"먼치팩토리","(React Native) 모바일앱 개발자","경력 3-10년","서울특별시 강남구 강남대로128길 4 4층","상시채용","https://www.wanted.co.kr/wd/194600"
"펑타이그레이터차이나(피티코리아)","글로벌 앱 마케팅 및 디지털 캠페인 기획/운영","경력 3-11년","(06241) 서울 강남구 강남대로 372 FINE TOWER - 신분당선 강남 에서 200m 이내","2024.04.15","https://www.wanted.co.kr/wd/208217"
"코딧(CODITCorp.)","앱 개발자 (React Native, 3년 이상)","경력 3-10년","서울시 강남구 봉은사로 465, 8층","2024.05.02","https://www.wanted.co.kr/wd/135520"
