"company","title","career","address","deadline","link"
"알라딘커뮤니케이션","DBA","경력 5-10년","서울시 중구 서소문로 89-31, (주)알라딘커뮤니케이션","상시채용","https://www.wanted.co.kr/wd/215004"
"웅진","DBA(4년 이상)","경력 4-15년","서울시 중구 청계천로 24 케이스퀘어시티","2024.04.30","https://www.wanted.co.kr/wd/214393"
"스푼라디오","DBA Senior","경력 8-15년","서울 강남구 테헤란로4길 14 미림타워 13층","상시채용","https://www.wanted.co.kr/wd/215381"
"코나아이","DBA","경력 3-14년","대한민국 경기도 김포시 대곶면 대곶로 4-78, 코나아이 김포공장","상시채용","https://www.wanted.co.kr/wd/215324"
"브이피","DBA(2년 이상)","경력 2-10년","서울시 중구 을지로 170 을지트윈타워 13F","상시채용","https://www.wanted.co.kr/wd/211103"
"토스씨엑스","DBA","경력 3-10년","서울특별시 강남구 테헤란로 133, 9층(역삼동, 한국타이어빌딩)","상시채용","https://www.wanted.co.kr/wd/212931"
"브랜드베이커리(BrandBakery)","유통채널 온라인MD 리더급","경력 4-7년","서울특별시 용산구 만리재로 178 2층","상시채용","https://www.wanted.co.kr/wd/213683"
"밀리의서재","DBA 매니저","경력 5-10년","합정 메세나폴리스 세아타워 16층 <밀리의서재>","상시채용","https://www.wanted.co.kr/wd/214596"
"브레인커머스","[잡플래닛] Data Architect (DBA)","경력 7-15년","서울 강남구 테헤란로 509 10층","상시채용","https://www.wanted.co.kr/wd/212844"
"컴투스플랫폼","Hive플랫폼 DBA","경력 3-9년","서울 금천구 가산동 가산디지털1로 131, C동","상시채용","https://www.wanted.co.kr/wd/202502"
"씨제이올리브네트웍스(CJ올리브네트웍스)","프로젝트 DBA","경력 7-12년","서울 용산구 한강대로 366 트윈시티남산 (CJ올리브네트웍스 본사)","상시채용","https://www.wanted.co.kr/wd/213965"
"핀다(FINDA)","DBA","경력 3-13년","서울 강남구 테헤란로 518, (대치동) 한국섬유산업연합회 4층 핀다","상시채용","https://www.wanted.co.kr/wd/194672"
"이투스에듀","DBA","신입","서초구 남부순환로 2547, 이투스에듀 본사","상시채용","https://www.wanted.co.kr/wd/181564"
"여기어때컴퍼니","DBA","경력 5-10년","서울시 강남구 봉은사로 479","상시채용","https://www.wanted.co.kr/wd/199762"
"핀업","데이터베이스 관리자(DBA)","경력 5-7년","서울시 강남구 삼성로95길 10, 2-4층","2024.04.16","https://www.wanted.co.kr/wd/210332"
"아이스크림에듀","데이터베이스 관리자(DBA)","경력 10-17년","서울시 강남구 테헤란로 88길 15 (대치동 944-23)","상시채용","https://www.wanted.co.kr/wd/177307"
"카카오뱅크(kakaobank)","데이터베이스 관리자 (MySQL DBA)","경력 5-15년","(도로명) 경기도 성남시 분당구 분당내곡로 131 판교테크원타워, 타워2 11층","상시채용","https://www.wanted.co.kr/wd/185961"
"블루포션게임즈","모바일 DBA","경력 1-7년","서울 강남구 테헤란로309, 2층(삼성제일빌딩)","상시채용","https://www.wanted.co.kr/wd/177506"
"디케이테크인","[카카오자회사]DB엔지니어링팀 리더 (DBA/DA)","경력 10-20년","성남시 분당구 판교역로 235 H스퀘어 N동","상시채용","https://www.wanted.co.kr/wd/211597"
"비마이프렌즈","[300억↑투자] DBA (시니어)","경력 5-10년","강남구 테헤란로 7길 22 한국과학기술회관 2관","상시채용","https://www.wanted.co.kr/wd/204627"
"엠아이티","서버/DBA 개발자","경력 3-29년","울산광역시 남구 테크노산업로55번길 90, 3층","상시채용","https://www.wanted.co.kr/wd/205681"
"이투스에듀","DBA 주니어","신입-경력 5년","서초구 남부순환로 2547, 이투스에듀 본사","상시채용","https://www.wanted.co.kr/wd/191368"
"디케이테크인","DBA","경력 10-20년","성남시 분당구 판교역로 235 H스퀘어 N동","상시채용","https://www.wanted.co.kr/wd/201957"
"디랩스","DBA(Database Administrator)","경력 5-10년","서울시 강남구 삼성로104길 22, 2층","상시채용","https://www.wanted.co.kr/wd/191077"
"네시삼십삼분(4:33)","DBA(Database Administrator)","경력 5-10년","서울 강남구 삼성로104길 22","상시채용","https://www.wanted.co.kr/wd/191095"
"발란(BALAAN)","데이터베이스 관리자 (DBA)","경력 5-20년","서울특별시 강남구 테헤란로 217 (역삼동, 오렌지플래닛) 10F 발란","상시채용","https://www.wanted.co.kr/wd/201056"
"인핸스(Enhans)","[100억↑투자] Database Architect (DBA)","경력 4-28년","서울특별시 서초구 서초대로48길 61 (1~4층)","상시채용","https://www.wanted.co.kr/wd/154307"
"부릉","DBA","신입-경력 10년","서울특별시 서초구 강남대로 577 HY빌딩 3층/4층","상시채용","https://www.wanted.co.kr/wd/192986"
"라텔앤드파트너즈","DBA 주니어","경력 2-5년","서울 중구 필동로 16","2024.07.09","https://www.wanted.co.kr/wd/183437"
"하이데브(HighDev)","DBA/DB 개발자","경력 3-20년","선릉로8 wework","상시채용","https://www.wanted.co.kr/wd/177458"
"이지케어텍","DBA","경력 10-25년","서울 중구 퇴계로 307 광희빌딩 이지케어텍","상시채용","https://www.wanted.co.kr/wd/182213"
"넥슨코리아(NEXON)","[국내메이플] DBA","경력 3-15년","경기도 성남시 분당구 판교로 256번길 7, 넥슨","상시채용","https://www.wanted.co.kr/wd/178356"
"디어유","DBA/DA","경력 3-7년","서울시 강남구 학동로 25길 37","상시채용","https://www.wanted.co.kr/wd/177440"
"트럼피아","DBA","경력 3-5년","서울 강남구 테헤란로 441 11층","상시채용","https://www.wanted.co.kr/wd/162844"
"케어네이션","[CARENATION] 경영본부 데이터팀 데이터 엔지니어/DBA","신입","서울시 강남구 테헤란로 8길 37, 한동빌딩 3층,5층","상시채용","https://www.wanted.co.kr/wd/211006"
"비마이프렌즈","[300억↑투자] DBA (신입-주니어)","신입-경력 4년","강남구 테헤란로 7길 22 한국과학기술회관 2관","상시채용","https://www.wanted.co.kr/wd/204621"
"페이히어","[200억↑투자] DBA (Database Administrator)","경력 2-10년","서울특별시 강남구 강남대로 374, 16층","상시채용","https://www.wanted.co.kr/wd/178276"
"야놀자Tech(R&D)","DBA - MySQL","경력 3-8년","서울특별시 강남구 테헤란로108길 42","상시채용","https://www.wanted.co.kr/wd/206574"
"롯데카드","DBA","경력 4-12년","종로구 콘코디언빌딩","상시채용","https://www.wanted.co.kr/wd/208588"
