"company","title","career","address","deadline","link"
"휴로틱스","임베디드 소프트웨어/펌웨어 시니어 개발자","경력 2-20년","서울특별시 동작구","상시채용","https://www.wanted.co.kr/wd/215444"
"휴로틱스","임베디드 소프트웨어/펌웨어 주니어 개발자","경력 2-20년","서울특별시 동작구","상시채용","https://www.wanted.co.kr/wd/203705"
"주밍코리아","임베디드 모션제어 S/W개발자","경력 5-10년","서울시 강서구 공항대로 237,에이스타워 마곡 ,810호","2024.05.31","https://www.wanted.co.kr/wd/179796"
"모노리스","임베디드 어플리케이션 개발자","경력 5-12년","영등포구 여의대로 108, 파크원타워1 5층 스파크플러스","상시채용","https://www.wanted.co.kr/wd/151961"
"반프","R&D / C 기반 임베디드 SW 엔지니어","신입-경력 10년","서울시 강남구 역삼로 175, 3층","상시채용","https://www.wanted.co.kr/wd/205706"
"아이티엑스-에이아이(ITX-AI)","임베디드 리눅스 FW개발자","경력 1-10년","서울 금천구 가산디지털1로 212코오롱디지탈타워 애스턴 906 (가산동)","상시채용","https://www.wanted.co.kr/wd/209770"
"보스반도체","임베디드 시스템 SW Engineer","경력 3-20년","경기도 성남시 분당구 판교로 255번길 35 실리콘파크 3층","2024.04.30","https://www.wanted.co.kr/wd/142137"
"하이얼코리아알앤디(GE Appliances)","가전 임베디드 소프트웨어 개발자","경력 4-9년","경기도 성남시 분당구 대왕판교로 644번길 49","상시채용","https://www.wanted.co.kr/wd/161794"
"에타일렉트로닉스","임베디드 S/W, F/W 엔지니어","경력 1-10년","서울 용산구 원효로 271, 삼이빌딩 6층","상시채용","https://www.wanted.co.kr/wd/99005"
"아이엠에스이","임베디드 개발자","경력 5-15년","경기도 성남시 분당구 판교로256번길 9-22","상시채용","https://www.wanted.co.kr/wd/203997"
"넷커스터마이즈","임베디드 SW 개발자 (신입)","신입","대전시 유성구 유성대로 1184번길 29","상시채용","https://www.wanted.co.kr/wd/208508"
"폴라리스쓰리디(Polaris3D)","자율주행 임베디드 소프트웨어 개발자 (서울)","경력 1-5년","서울시 강남구 봉은사로 524 인터컨티넨탈 서울 스파크플러스 코엑스점","상시채용","https://www.wanted.co.kr/wd/207639"
"엔쓰리엔(N3N)","System Engineer (Linux, 임베디드)","신입","강남구 강남대로162길 41-18","상시채용","https://www.wanted.co.kr/wd/212658"
"아폴론","임베디드 시스템 개발자","경력 2-10년","마곡중앙8로 14 408호","상시채용","https://www.wanted.co.kr/wd/202627"
"엑소시스템즈","임베디드 개발자 (병역특례 가능)","경력 3-7년","성남시 수정구 창업로 43, 판교글로벌비즈센터 A803","상시채용","https://www.wanted.co.kr/wd/19099"
"유비씨","임베디드 개발자","경력 3-20년","경기도 안양시 동안구 시민대로 248번길 25, 안양창조산업진흥원 1006호","2024.06.04","https://www.wanted.co.kr/wd/208520"
"넷커스터마이즈","임베디드 SW 개발자 (1~10년)","경력 1-10년","대전시 유성구 유성대로 1184번길 29","상시채용","https://www.wanted.co.kr/wd/208509"
"오케이포스","임베디드 S/W 개발","경력 5-10년","서울시 금천구 벚꽃로 234, 에이스하이엔드6차 801 ~ 802호","상시채용","https://www.wanted.co.kr/wd/197666"
"넷커스터마이즈","신호처리 관련 FPGA Logic / 임베디드 SW 개발자 (신입)","신입","대전시 유성구 유성대로 1184번길 29","상시채용","https://www.wanted.co.kr/wd/208512"
"긴트","[200억↑투자] 임베디드소프트웨어 시니어 개발자","경력 5-12년","경기도 성남시 분당구 판교로 228번길 17, 판교벤처밸리 2단지 1동 4층 긴트","상시채용","https://www.wanted.co.kr/wd/209379"
"긴트","[200억↑투자] 임베디드소프트웨어 주니어 개발자","신입-경력 5년","경기도 성남시 분당구 판교로 228번길 17, 판교벤처밸리 2단지 1동 4층 긴트","상시채용","https://www.wanted.co.kr/wd/131064"
"스카이랩스(SkyLabs)","[400억↑투자] 임베디드 펌웨어 개발자","경력 1-10년","성남시 분당구 판교로 255번길 58, 씨즈타워 703호","상시채용","https://www.wanted.co.kr/wd/192800"
"니어스랩","임베디드 시스템 프로그래머","경력 3-10년","서울시 송파구 정의로8길 9 AJ빌딩 본관 3층","상시채용","https://www.wanted.co.kr/wd/157501"
"플로틱","Embedded Software Engineer (로봇 임베디드 개발)","경력 3-10년","서울특별시 성동구 성수일로12길 1, 성옥빌딩 1층","상시채용","https://www.wanted.co.kr/wd/135145"
"삼흥시스템","임베디드 HW/SW 개발자","경력 1-20년","대구광역시 서구 와룡로 439-10","상시채용","https://www.wanted.co.kr/wd/206707"
"비알랩","[100억↑투자] 임베디드 개발자(SW)","경력 5-10년","서울특별시 강남구 삼성동 141 성원타워 16층 비알랩","상시채용","https://www.wanted.co.kr/wd/180119"
"텔레픽스","[대전]임베디드 시스템 엔지니어(신입가능)","신입","유성구 테크노4로 17","상시채용","https://www.wanted.co.kr/wd/209322"
"모본","임베디드 F/W 개발 엔지니어 (신입)","신입","서울시 강남구 삼성동 140-28덕우빌딩 3층","상시채용","https://www.wanted.co.kr/wd/181487"
