"company","title","career","address","deadline","link"
"코드잇(codeit)","[100억↑투자] 교육 PM [백엔드 교육(Spring)]","경력 1-9년","중구 청계천로 100 시그니쳐타워 동관 10층","상시채용","https://www.wanted.co.kr/wd/215334"
"페이타랩(패스오더)","[200억↑투자] 백엔드 개발자 (병역특례/산업기능요원/보충역/전직)","신입-경력 10년","서울특별시 강남구 영동대로 85길 34, 6층","상시채용","https://www.wanted.co.kr/wd/78230"
"더커머스","백엔드 개발자 (신입 지원 가능)","신입","서초구 남부순환로350길 36 8층","2024.07.15","https://www.wanted.co.kr/wd/215318"
"페이타랩(패스오더)","[200억↑투자] 백엔드 개발자 (Python, MSA)","신입-경력 10년","서울특별시 강남구 영동대로 85길 34, 6층","상시채용","https://www.wanted.co.kr/wd/196993"
"페이타랩(패스오더)","[200억↑투자] 백엔드 개발자 주니어 (Python, MSA)","신입-경력 10년","서울특별시 강남구 영동대로 85길 34, 6층","상시채용","https://www.wanted.co.kr/wd/45650"
"비플라이소프트","아이서퍼팀 백엔드 개발자 (주니어)","경력 1-3년","중구 퇴계로 385 (흥인동) 준타워 5,6,8,9층","상시채용","https://www.wanted.co.kr/wd/215208"
"크레이지알파카","백엔드 개발자(팀원)","경력 1-2년","서울 서초구 서초대로74길 14","2024.04.21","https://www.wanted.co.kr/wd/215180"
"키트웍스","백엔드 웹프로그래머 (Spring, MSA) 1~3년","경력 1-3년","영등포구 양평로 20 타워020 6층","2024.04.28","https://www.wanted.co.kr/wd/215156"
"스풀","JAVA / Spring Boot 백엔드 신입 개발자","신입","서울 마포구 월드컵북로2길 37 206호,321호","상시채용","https://www.wanted.co.kr/wd/215128"
"케이존","주니어 백엔드 개발자(신입 ~ 3년차)","신입-경력 3년","13449) 경기도 성남시 수정구 대왕판교로 815 판교제2테크노밸리 기업지원허브 혁신기술존 7층","상시채용","https://www.wanted.co.kr/wd/214617"
"디피니트","Backend Engineer","신입-경력 5년","서교동 475-1, 2층 (고래빌딩)","상시채용","https://www.wanted.co.kr/wd/215051"
"라프텔(Laftel)","백엔드 엔지니어","경력 1-8년","서울시 영등포구 국제금융로 10, 서울국제금융센터 TWO IFC 12층","상시채용","https://www.wanted.co.kr/wd/121823"
"엔쓰리엔(N3N)","Server Engineer 개발자(팀장급)","경력 1-10년","강남구 강남대로162길 41-18","상시채용","https://www.wanted.co.kr/wd/213101"
"모멘티","백엔드 개발자 (1~5년)","경력 1-10년","서울특별시 강남구 역삼동 605-23, 4층 (송호빌딩)","2024.04.21","https://www.wanted.co.kr/wd/130436"
"모멘티","백엔드 개발자","신입","서울특별시 강남구 역삼동 605-23, 4층 (송호빌딩)","2024.04.21","https://www.wanted.co.kr/wd/63069"
"핀다(FINDA)","주니어 백엔드 개발자 (마이데이터)","경력 1-5년","서울 강남구 테헤란로 518, (대치동) 한국섬유산업연합회 4층 핀다","상시채용","https://www.wanted.co.kr/wd/211136"
"와이피랩스(커넥팅)","[산업기능요원(병역특례, 보충역)] DevOps/백엔드 개발자","신입","서울특별시 강남구 영동대로 424 3층","상시채용","https://www.wanted.co.kr/wd/214338"
"아토머스(마인드카페)","파이썬 백엔드 개발자","신입-경력 5년","강남구 영동대로96길 20 대화빌딩 4층","상시채용","https://www.wanted.co.kr/wd/193495"
"이롬넷","PayVerse 인프라팀 서버 엔지니어 담당자","경력 1-6년","강남구 테헤란로 414 엘앤비타워 10층","상시채용","https://www.wanted.co.kr/wd/199235"
"넥서스에이아이","Infra, 서비스 Backend 개발 (LLM 기반 법률상담 챗봇 서비스)","경력 1-20년","서울시 서초구 효령료 17","상시채용","https://www.wanted.co.kr/wd/213962"
"텐핑거스(10fingers)","[데이트팝]Python 백엔드 개발자(주니어)/산업기능요원(보충역)/전직 가능","신입","서초구 나루터로 62, 일신빌딩 7층","2024.04.14","https://www.wanted.co.kr/wd/212259"
"잇마플","소프트웨어 개발 - 백엔드 (신입)","신입","서울시 강남구 역삼동 669-19, 주암빌딩 2층","상시채용","https://www.wanted.co.kr/wd/210620"
"넥슨코리아(NEXON)","[인텔리전스랩스] 선행프로덕트팀 백엔드 개발자 (Python/Go)","신입-경력 5년","경기도 성남시 분당구 판교로 256번길 7, 넥슨","상시채용","https://www.wanted.co.kr/wd/211877"
"트랄라랩","[Blockchain] Backend Engineer (1년 이상)","경력 1-5년","경기도 성남시 분당구 판교역로192번길 14-1","상시채용","https://www.wanted.co.kr/wd/213705"
"알리고에이아이","Backend engineer","경력 1-2년","서울시 도봉구 마들로 13길 84, 창동아우르네 2층 212호","2024.06.14","https://www.wanted.co.kr/wd/210512"
"이스트게임즈","게임 서버 (툴/인프라) 개발자","경력 1-20년","서울 서초구 반포대로3 이스트빌딩 5층(서초동 1464-30)","상시채용","https://www.wanted.co.kr/wd/196730"
"이스트게임즈","게임 서버 개발자","신입-경력 10년","서울 서초구 반포대로3 이스트빌딩 5층(서초동 1464-30)","상시채용","https://www.wanted.co.kr/wd/72134"
"낭만상회","백엔드 엔지니어(신입/주니어 0~3년차)","신입-경력 3년","서울 강남구 논현로87길 25 HB타워 6층","상시채용","https://www.wanted.co.kr/wd/213444"
"카본사우루스","NodeJS 백엔드 개발자 (1년 이상)","경력 1-5년","서울시 마포구 마포대로 78 (제2서울핀테크랩), 11층 1114호","상시채용","https://www.wanted.co.kr/wd/212743"
"벳칭","백엔드 엔지니어 (주니어, 1~3년차)","경력 1-3년","서울특별시 서초구 강남대로407, 13층(오퍼스407)x","상시채용","https://www.wanted.co.kr/wd/212716"
"와트","서버 개발자","경력 1-5년","성남시 수정구 금토로 80번길 11 판교이노베이션랩 지식산업센터 605호","2024.05.01","https://www.wanted.co.kr/wd/213327"
"매드업","주니어 백엔드 개발자 (테크사업부) (전문연구요원 가능)","경력 1-4년","서울특별시 강남구 강남대로94길 10 케이스퀘어강남 9층","2024.05.01","https://www.wanted.co.kr/wd/163187"
"엔쓰리엔(N3N)","Server Engineer 개발자(팀원급)","경력 1-5년","강남구 강남대로162길 41-18","상시채용","https://www.wanted.co.kr/wd/213195"
"아이포트폴리오","백엔드 개발자","경력 1-3년","서울특별시 중구 남대문로 9길 24, 11층 (다동, 패스트파이브 타워)","상시채용","https://www.wanted.co.kr/wd/206032"
"피어테크(지닥)","[병역특례_보충역/전직] 백엔드 개발","경력 1-5년","서울 강남구 봉은사로 112길 6 , 3층 (익성빌딩)","2024.04.30","https://www.wanted.co.kr/wd/212281"
"라익스","백오피스/백엔드 UIUX 기획자","경력 1-10년","서울시 강남구 학동로3길 41 에스피오빌딩 4층","2024.04.30","https://www.wanted.co.kr/wd/203278"
"피어테크(지닥)","백엔드 개발","경력 1-5년","서울 강남구 봉은사로 112길 6 , 3층 (익성빌딩)","2024.04.30","https://www.wanted.co.kr/wd/212031"
"페이스피에이팍","[판교] 백엔드 엔지니어","신입-경력 5년","분당내곡로 117","상시채용","https://www.wanted.co.kr/wd/210366"
"에스투더블유(S2W)","Backend Engineer (JAVA)","신입-경력 3년","경기도 성남시 분당구 판교역로192번길 12, 3층 (삼평동, 판교미래에셋센터)","상시채용","https://www.wanted.co.kr/wd/212754"
"디렉셔널","Backend Developer (Kotlin/Spring Boot)","경력 1-5년","서울특별시 영등포구 여의나루로 53-1","2024.04.15","https://www.wanted.co.kr/wd/172078"
"파워테스크","백엔드 개발자","경력 1-10년","서울특별시 강남구 역삼로 557, 한국투자액셀러레이터 3층","상시채용","https://www.wanted.co.kr/wd/211237"
"닥터다이어리","백엔드 개발자(주니어)","경력 1-4년","서울시 서초구 효령로77길 28, 7층","2024.05.01","https://www.wanted.co.kr/wd/211975"
"팝핀타이거","백엔드 개발자","신입-경력 2년","서울특별시 강서구 마곡중앙2로 11, M밸리W타워3차 303호-305호","상시채용","https://www.wanted.co.kr/wd/212396"
"두잇 (Doeat)","Backend Developer","경력 1-20년","서울시 관악구 남부순환로 1925 6층","상시채용","https://www.wanted.co.kr/wd/211927"
"넥슨유니버스","메이플스토리N 게임 서버/클라이언트 프로그래머 (C/C++","경력 1-99년","경기도 성남시 분당구 판교로256번길 25, 씨3-7 비동","상시채용","https://www.wanted.co.kr/wd/188525"
"클라썸","[200억↑투자] 백엔드(Node.js) 개발자","신입-경력 5년","강남구 테헤란로2길 27 비전타워 1401호","상시채용","https://www.wanted.co.kr/wd/98933"
"엘리스","[신입] 백엔드 엔지니어 (Python)","신입","서울시 강남구 선릉로 433 세방빌딩 6층, 16층","상시채용","https://www.wanted.co.kr/wd/162405"
"알파브릿지","RA 백엔드 개발자","경력 1-15년","경기도 성남시 분당구 판교역로 192번길 14,9층(삼평동, 리치투게더센터)","상시채용","https://www.wanted.co.kr/wd/209790"
"엘리스","글로벌팀 백엔드 엔지니어 (Python)","신입-경력 5년","서울시 강남구 선릉로 433 세방빌딩 6층, 16층","상시채용","https://www.wanted.co.kr/wd/182859"
"수거봇","백엔드 개발자(Python, Django)(1년 이상)","경력 1-5년","서울 성동구 성수이로 51 서울숲한라시그마밸리 6층","상시채용","https://www.wanted.co.kr/wd/211644"
"에버스핀","보안솔루션 서버 기술지원 - 일본 근무","경력 1-10년","서울시 동작구 노량진로 188, 9~12F(노량진동, 에버스핀빌딩)","상시채용","https://www.wanted.co.kr/wd/150146"
"피플밤","백엔드 개발자(제주플젝/서울근무)_1년이상","경력 1-15년","판교2테크노밸리","상시채용","https://www.wanted.co.kr/wd/190046"
"하이퍼엑셀","서버 인프라 관리자","경력 1-5년","강남구 논현로 75길 8, 비드빌딩 4층","2024.06.20","https://www.wanted.co.kr/wd/211565"
"아바티(AVATYE)","백엔드 개발자","신입-경력 4년","경기 성남시 분당구 운중로 249(판교동), 6층","상시채용","https://www.wanted.co.kr/wd/210953"
"엑스페이스","Phython/Django/Linux 백엔드 개발자","경력 1-4년","역삼동 656-34, 4층","상시채용","https://www.wanted.co.kr/wd/210651"
"스쿨버스","백엔드 및 서버 개발자(1년)","신입","서울 공항대로 194 퀸즈파크12차 8층 813, 814, 815호","2024.04.30","https://www.wanted.co.kr/wd/203740"
"아이페이지온","리눅스 서버 개발자(신입)","신입","서울시 강남구 테헤란로 14길5, 9층","상시채용","https://www.wanted.co.kr/wd/210676"
"비모소프트","백엔드 개발자","신입-경력 5년","경기도 안양시 동안구 시민대로 327번길 11-35 (관양동) 엠투아이건물 4층","상시채용","https://www.wanted.co.kr/wd/183071"
"지엔에이컴퍼니","[플레이오][신입] Python 백엔드 개발","신입","서울시 서초구 방배로 27길 8, 3층","2024.04.30","https://www.wanted.co.kr/wd/193602"
"테일크루(Talecrew)","백엔드 개발자(Python, Django)","경력 1-5년","경기도 성남시 분당구 판교역로 230 삼환하이펙스 B동 4층","상시채용","https://www.wanted.co.kr/wd/207366"
"세나클소프트","[200억↑투자] Backend Server 개발(병역특례/산업기능요원/보충역/전직)","신입-경력 4년","서울시 강남구 테헤란로 44길 8","상시채용","https://www.wanted.co.kr/wd/196059"
"트러스트랩스","서버 개발자","경력 1-5년","강남구","상시채용","https://www.wanted.co.kr/wd/209421"
"에스제이에이치스튜디오","서버 개발자","신입-경력 9년","재택","상시채용","https://www.wanted.co.kr/wd/163538"
"트렌비","백엔드 개발자 주니어","신입-경력 4년","서초구 서초대로77길 41, 대동II빌딩 11층","상시채용","https://www.wanted.co.kr/wd/208748"
